Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID,Plant Reactome Reaction ID
ATMG00140,ATMG00140.1,A0A178U5V3,
ATMG00750,ATMG00750.1,A0A178U5W3,
ATMG00860,ATMG00860.1,A0A178U5X8,
AT3G32960,AT3G32960.1,A0A178U5Y1,
AT1G80460,AT1G80460.1,A0A178U5Y7,R-ATH-1119321
AT4G08760,AT4G08760.1,A0A178U5Z1,
AT5G32590,AT5G32590.1,A0A178U5Z4,
AT2G07705,AT2G07705.1,A0A178U601,
AT5G50950,AT5G50950.2,A0A178U603,R-ATH-1119533
AT5G52920,AT5G52920.1,A0A178U603,
AT2G11015,AT2G11015.1,A0A178U604,
AT3G32160,AT3G32160.1,A0A178U604,
AT4G23160,AT4G23160.3,A0A178U605,
AT5G36228,AT5G36228.1,A0A178U620,
AT5G25600,AT5G25600.1,A0A178U620,
ATMG00310,ATMG00310.1,A0A178U620,
ATMG00750,ATMG00750.1,A0A178U622,
AT1G65410,AT1G65410.1,A0A178U623,
AT3G01120,AT3G01120.1,A0A178U630,
AT5G63140,AT5G63140.1,A0A178U630,
ATMG01250,ATMG01250.1,A0A178U636,
AT1G56500,AT1G56500.3,A0A178U639,
AT5G44750,AT5G44750.1,A0A178U639,
ATMG00750,ATMG00750.1,A0A178U642,
AT4G33670,AT4G33670.1,A0A178U643,
AT4G06746,AT4G06746.1,A0A178U651,R-ATH-8879007
ATMG00880,ATMG00880.1,A0A178U655,
ATMG00860,ATMG00860.1,A0A178U655,
AT2G08986,AT2G08986.1,A0A178U657,
AT3G32940,AT3G32940.1,A0A178U658,
AT1G30140,AT1G30140.1,A0A178U665,
ATMG01250,ATMG01250.1,A0A178U666,
AT2G07681,AT2G07681.1,A0A178U678,
ATMG01060,ATMG01060.1,A0A178U683,
ATMG01250,ATMG01250.1,A0A178U685,
AT3G31430,AT3G31430.1,A0A178U685,
AT2G37190,AT2G37190.1,A0A178U686,
AT1G38131,AT1G38131.1,A0A178U695,
AT4G23160,AT4G23160.2,A0A178U6A4,
AT2G07680,AT2G07680.2,A0A178U6B5,
AT2G06570,AT2G06570.1,A0A178U6C5,
AT5G11130,AT5G11130.1,A0A178U6C6,
ATMG00580,ATMG00580.1,A0A178U6C7,
AT1G65346,AT1G65346.1,A0A178U6C8,
ATMG01130,ATMG01130.1,A0A178U6C9,
AT5G43830,AT5G43830.1,A0A178U6D3,
ATMG00470,ATMG00470.1,A0A178U6D6,
AT5G22240,AT5G22240.1,A0A178U6E2,
AT5G32590,AT5G32590.1,A0A178U6E4,
AT3G32150,AT3G32150.1,A0A178U6E4,
ATMG00150,ATMG00150.1,A0A178U6E6,
AT5G02720,AT5G02720.1,A0A178U6F0,
AT5G43280,AT5G43280.1,A0A178U6F1,
AT5G25600,AT5G25600.1,A0A178U6F4,
AT4G08430,AT4G08430.1,A0A178U6F5,
AT5G45570,AT5G45570.2,A0A178U6F5,
AT1G23915,AT1G23915.1,A0A178U6F8,
AT5G40560,AT5G40560.1,A0A178U6G0,
AT5G40570,AT5G40570.1,A0A178U6G0,
AT5G02030,AT5G02030.1,A0A178U6G6,
AT5G54780,AT5G54780.1,A0A178U6G7,
AT2G13105,AT2G13105.1,A0A178U6H1,
AT5G03510,AT5G03510.1,A0A178U6H4,
AT5G65980,AT5G65980.1,A0A178U6H8,R-ATH-8868949
AT4G07400,AT4G07400.1,A0A178U6I0,
ATMG00710,ATMG00710.1,A0A178U6I1,
AT5G44110,AT5G44110.1,A0A178U6I2,
AT5G65480,AT5G65480.1,A0A178U6I7,
ATMG00080,ATMG00080.1,A0A178U6I8,
ATMG00580,ATMG00580.1,A0A178U6I9,
AT5G26240,AT5G26240.1,A0A178U6J2,
AT2G07680,AT2G07680.2,A0A178U6J7,
AT5G07270,AT5G07270.1,A0A178U6J8,
AT3G30820,AT3G30820.1,A0A178U6J9,
ATMG00490,ATMG00490.1,A0A178U6K0,
AT5G16760,AT5G16760.1,A0A178U6K3,
AT5G05365,AT5G05365.1,A0A178U6K7,
AT5G05720,AT5G05720.1,A0A178U6K8,
AT5G11440,AT5G11440.1,A0A178U6L2,
AT5G26120,AT5G26120.1,A0A178U6L7,
AT5G07550,AT5G07550.1,A0A178U6L8,
AT5G04130,AT5G04130.1,A0A178U6M0,
AT3G10690,AT3G10690.1,A0A178U6M0,
ATMG00520,ATMG00520.1,A0A178U6M2,
AT5G49820,AT5G49820.1,A0A178U6M3,
AT5G09400,AT5G09400.1,A0A178U6M7,
AT5G27680,AT5G27680.2,A0A178U6M8,
ATCG00150,ATCG00150.1,A0A178U6M9,
AT3G11710,AT3G11710.1,A0A178U6N2,
AT5G41080,AT5G41080.2,A0A178U6N7,
AT5G26100,AT5G26100.1,A0A178U6P0,
AT5G40590,AT5G40590.1,A0A178U6P7,
AT5G04360,AT5G04360.1,A0A178U6P8,
AT3G31950,AT3G31950.1,A0A178U6Q0,
AT3G32920,AT3G32920.1,A0A178U6Q2,
AT5G62980,AT5G62980.2,A0A178U6Q3,R-ATH-1119523
AT5G62980,AT5G62980.2,A0A178U6Q3,R-ATH-1119265
AT5G37630,AT5G37630.1,A0A178U6Q6,
AT5G36228,AT5G36228.1,A0A178U6Q7,
AT5G23440,AT5G23440.1,A0A178U6Q9,
AT4G06479,AT4G06479.1,A0A178U6R2,
AT5G38820,AT5G38820.2,A0A178U6R5,
AT3G32940,AT3G32940.1,A0A178U6R9,
AT5G56880,AT5G56880.1,A0A178U6S1,
AT5G12970,AT5G12970.1,A0A178U6S2,
AT5G04200,AT5G04200.1,A0A178U6S6,
AT5G52160,AT5G52160.1,A0A178U6T1,
AT5G07270,AT5G07270.1,A0A178U6T2,
AT5G66000,AT5G66000.1,A0A178U6T7,
AT5G03160,AT5G03160.1,A0A178U6U1,
AT5G50280,AT5G50280.1,A0A178U6V0,
AT5G44690,AT5G44690.1,A0A178U6V3,
AT5G19380,AT5G19380.1,A0A178U6V4,
AT5G42490,AT5G42490.2,A0A178U6V7,
AT5G42490,AT5G42490.1,A0A178U6V7,
AT4G06744,AT4G06744.1,A0A178U6V9,
AT5G49360,AT5G49360.1,A0A178U6W0,
AT5G27110,AT5G27110.1,A0A178U6W1,
AT5G58200,AT5G58200.1,A0A178U6W6,
AT5G21080,AT5G21080.1,A0A178U6W8,
AT5G15685,AT5G15685.1,A0A178U6X1,
AT5G35330,AT5G35330.2,A0A178U6X6,
AT5G35330,AT5G35330.4,A0A178U6X6,
AT5G35330,AT5G35330.1,A0A178U6X6,
AT5G35330,AT5G35330.3,A0A178U6X6,
AT5G29624,AT5G29624.1,A0A178U6X7,
AT3G33520,AT3G33520.1,A0A178U6Y1,
AT5G40050,AT5G40050.1,A0A178U6Y5,
AT5G28295,AT5G28295.1,A0A178U6Y6,
ATMG00860,ATMG00860.1,A0A178U6Z3,
AT5G66610,AT5G66610.1,A0A178U6Z4,
AT5G16970,AT5G16970.1,A0A178U6Z5,
AT5G02410,AT5G02410.1,A0A178U700,
AT5G59230,AT5G59230.1,A0A178U702,
AT2G15110,AT2G15110.1,A0A178U704,
AT3G42170,AT3G42170.2,A0A178U707,
AT5G49945,AT5G49945.1,A0A178U710,
AT5G50990,AT5G50990.1,A0A178U715,
AT2G19600,AT2G19600.1,A0A178U723,
AT5G12370,AT5G12370.1,A0A178U724,
AT4G07380,AT4G07380.1,A0A178U725,
AT5G33898,AT5G33898.1,A0A178U729,
AT5G01850,AT5G01850.1,A0A178U731,
AT2G07690,AT2G07690.1,A0A178U732,
AT5G46720,AT5G46720.1,A0A178U740,
AT3G43150,AT3G43150.1,A0A178U741,
AT1G60720,AT1G60720.1,A0A178U743,
AT5G04310,AT5G04310.2,A0A178U748,
AT2G07680,AT2G07680.2,A0A178U749,
AT2G07240,AT2G07240.1,A0A178U750,
AT5G05990,AT5G05990.1,A0A178U753,
AT5G10720,AT5G10720.1,A0A178U754,
AT5G67245,AT5G67245.1,A0A178U757,
AT5G39550,AT5G39550.1,A0A178U759,
AT5G67570,AT5G67570.1,A0A178U760,
AT2G36020,AT2G36020.1,A0A178U763,
AT5G51220,AT5G51220.1,A0A178U764,
AT5G64860,AT5G64860.1,A0A178U766,
AT5G43180,AT5G43180.1,A0A178U768,
AT5G04620,AT5G04620.2,A0A178U769,
AT5G12040,AT5G12040.1,A0A178U770,
AT5G12040,AT5G12040.1,A0A178U773,
AT5G03680,AT5G03680.1,A0A178U774,
AT2G41700,AT2G41700.1,A0A178U775,
AT5G63280,AT5G63280.1,A0A178U777,
AT5G60300,AT5G60300.2,A0A178U778,
AT5G46640,AT5G46640.1,A0A178U779,
AT5G09880,AT5G09880.1,A0A178U781,
AT5G27490,AT5G27490.1,A0A178U782,
AT5G18550,AT5G18550.1,A0A178U784,
AT5G13370,AT5G13370.1,A0A178U786,
AT5G61560,AT5G61560.1,A0A178U788,
AT5G61560,AT5G61560.5,A0A178U788,
AT5G28020,AT5G28020.3,A0A178U789,R-ATH-1119331
AT5G03260,AT5G03260.1,A0A178U790,
AT5G55140,AT5G55140.1,A0A178U792,
AT5G41840,AT5G41840.1,A0A178U793,
AT5G46000,AT5G46000.1,A0A178U795,
AT1G65410,AT1G65410.1,A0A178U797,
AT5G64100,AT5G64100.1,A0A178U798,
AT5G49740,AT5G49740.1,A0A178U7A0,
AT5G40560,AT5G40560.1,A0A178U7A1,
AT5G40570,AT5G40570.1,A0A178U7A1,
AT5G43440,AT5G43440.1,A0A178U7A3,
AT5G22670,AT5G22670.1,A0A178U7A5,
AT5G56570,AT5G56570.1,A0A178U7A8,
AT2G18800,AT2G18800.1,A0A178U7A9,
AT5G17630,AT5G17630.1,A0A178U7B1,
AT5G39330,AT5G39330.1,A0A178U7B2,
AT5G08370,AT5G08370.1,A0A178U7B3,
AT5G14360,AT5G14360.1,A0A178U7B6,
ATMG01190,ATMG01190.1,A0A178U7B7,
AT5G16010,AT5G16010.1,A0A178U7B8,R-ATH-1119456
AT5G07670,AT5G07670.1,A0A178U7B9,
AT5G62130,AT5G62130.4,A0A178U7C1,
AT5G13730,AT5G13730.1,A0A178U7C2,
AT5G48760,AT5G48760.2,A0A178U7C4,
AT5G48760,AT5G48760.1,A0A178U7C4,
AT5G62520,AT5G62520.1,A0A178U7C5,
AT5G22350,AT5G22350.1,A0A178U7C6,
AT5G35170,AT5G35170.1,A0A178U7C8,
AT5G16370,AT5G16370.1,A0A178U7D0,
AT2G23420,AT2G23420.1,A0A178U7D2,
AT5G16740,AT5G16740.1,A0A178U7D3,
AT5G06670,AT5G06670.1,A0A178U7D4,
AT5G06900,AT5G06900.1,A0A178U7D5,
AT5G53550,AT5G53550.2,A0A178U7D6,
AT5G53550,AT5G53550.5,A0A178U7D6,
